id	time	AKAR4pOUT
E400T130	630	182.675;9.24938
E400T131	635	184.825;9.30312
E400T132	640	182.325;9.24062
E400T133	645	181.85;9.22875
E400T134	650	184.225;9.28813
E400T135	655	183.975;9.28187
E400T136	660	187.2;9.3625
E400T137	665	183.225;9.26313
E400T138	670	181.55;9.22125
E400T139	675	182.925;9.25563
E400T140	680	185.425;9.31813
E400T141	685	185.625;9.32313
E400T142	690	185.975;9.33188
E400T143	695	182.675;9.24938
E400T144	700	183.375;9.26688
E400T145	705	185.05;9.30875
E400T146	710	183.275;9.26438
E400T147	715	182.15;9.23625
E400T148	720	179.775;9.17688
E400T149	725	184.275;9.28937
E400T150	730	184.125;9.28562
E400T151	735	183.55;9.27125
E400T152	740	184.375;9.29188
E400T153	745	183.25;9.26375
E400T154	750	186.5;9.345
E400T155	755	181.35;9.21625
E400T156	760	182.2;9.2375
E400T157	765	182.65;9.24875
E400T158	770	182.225;9.23813
E400T159	775	183.35;9.26625
E400T160	780	183.95;9.28125
E400T161	785	183.675;9.27438
E400T162	790	181.05;9.20875
E400T163	795	186.275;9.33938
E400T164	800	183.125;9.26063
E400T165	805	184.425;9.29312
E400T166	810	184.075;9.28438
E400T167	815	184.675;9.29938
E400T168	820	183.4;9.2675
E400T169	825	183.5;9.27
E400T170	830	184.55;9.29625
E400T171	835	183.75;9.27625
E400T172	840	183.375;9.26688
E400T173	845	183.05;9.25875
E400T174	850	184.225;9.28813
E400T175	855	183.075;9.25938
E400T176	860	186.9;9.355
E400T177	865	182.15;9.23625
E400T178	870	184.575;9.29688
E400T179	875	186.05;9.33375
E400T180	880	184.325;9.29063
E400T181	885	184.375;9.29188
E400T182	890	181.525;9.22063
E400T183	895	187.225;9.36313
E400T184	900	184.15;9.28625
E400T185	905	187;9.3575
E400T186	910	186.3;9.34
E400T187	915	182.625;9.24812
E400T188	920	185.4;9.3175
E400T189	925	181.3;9.215
E400T190	930	184.775;9.30188
E400T191	935	187.225;9.36313
E400T192	940	184.85;9.30375
E400T193	945	183.85;9.27875
E400T194	950	186.425;9.34313
E400T195	955	181.575;9.22188
E400T196	960	183.225;9.26313
E400T197	965	181.3;9.215
E400T198	970	183.425;9.26813
E400T199	975	182.3;9.24
E400T200	980	183;9.2575
E400T201	985	182.425;9.24313
E400T202	990	185.725;9.32563
E400T203	995	182.075;9.23438
E400T204	1000	184.55;9.29625
E400T205	1005	183.45;9.26875
E400T206	1010	183.6;9.2725
E400T207	1015	184.125;9.28562
E400T208	1020	182.3;9.24
E400T209	1025	184.025;9.28313
E400T210	1030	182.05;9.23375
E400T211	1035	184.075;9.28438
E400T212	1040	186;9.3325
E400T213	1045	182.9;9.255
E400T214	1050	184.125;9.28562
E400T215	1055	182.95;9.25625
E400T216	1060	182.825;9.25313
E400T217	1065	183.375;9.26688
E400T218	1070	182.75;9.25125
E400T219	1075	183.9;9.28
E400T220	1080	184.125;9.28562
E400T221	1085	186.25;9.33875
E400T222	1090	185.35;9.31625
E400T223	1095	186.25;9.33875
E400T224	1100	185.675;9.32437
E400T225	1105	187.25;9.36375
