id	time	AKAR4pOUT
E100T174	850	169.95;8.71375
E100T175	855	173.6;8.805
E100T176	860	172.7;8.7825
E100T177	865	170.875;8.73688
E100T178	870	171.8;8.76
E100T179	875	173.125;8.79312
E100T180	880	170.175;8.71937
E100T181	885	172.575;8.77937
E100T182	890	169.025;8.69063
E100T183	895	173;8.79
E100T184	900	171.175;8.74438
E100T185	905	174.65;8.83125
E100T186	910	173.225;8.79563
E100T187	915	172.825;8.78562
E100T188	920	172.65;8.78125
E100T189	925	172.9;8.7875
E100T190	930	174.1;8.8175
E100T191	935	172.375;8.77437
E100T192	940	175.075;8.84187
E100T193	945	173.825;8.81062
E100T194	950	173.25;8.79625
E100T195	955	174.45;8.82625
E100T196	960	173.35;8.79875
E100T197	965	175.575;8.85438
E100T198	970	173.775;8.80937
E100T199	975	175.15;8.84375
E100T200	980	174.975;8.83938
E100T201	985	176.25;8.87125
E100T202	990	174.85;8.83625
E100T203	995	175.55;8.85375
E100T204	1000	175.075;8.84187
E100T205	1005	174.9;8.8375
E100T206	1010	171.95;8.76375
E100T207	1015	176.875;8.88687
E100T208	1020	176.1;8.8675
E100T209	1025	174.45;8.82625
E100T210	1030	172;8.765
E100T211	1035	174.425;8.82563
E100T212	1040	174.9;8.8375
E100T213	1045	176.925;8.88813
E100T214	1050	176.125;8.86812
E100T215	1055	178.6;8.93
E100T216	1060	175.75;8.85875
E100T217	1065	174.5;8.8275
E100T218	1070	177.325;8.89813
E100T219	1075	175.7;8.8575
E100T220	1080	177.025;8.89062
E100T221	1085	178.175;8.91938
E100T222	1090	174.2;8.82
E100T223	1095	178.075;8.91688
E100T224	1100	178.6;8.93
E100T225	1105	176.65;8.88125
