!!SBtab	SBtabVersion='1.0' Document='CaMKII' TableType='Quantity' TableName='Expression' TableTitle='CaMKIIs parameters that depend on others'				
!ID	!Name	!Unit	!Formula	!Description	!Location
totalCaMKII	totalCaMKII	micromole/litre	(CaMKII_CaM + CaMKII_CaM_Ca1 + CaMKII + CaMKII_CaM_Ca2 + CaMKII_CaM_Ca3 + CaMKII_CaM_Ca4 + pCaMKII_CaM_Ca4 + pCaMKIIa + pCaMKII_CaM_Ca3 + pCaMKII_CaM_Ca2 + pCaMKII_CaM_Ca1 + pCaMKII_CaM)	from conservation law	synapse
ActiveCaMKII	ActiveCaMKII	micromole/litre	pCaMKII_CaM_Ca4 + pCaMKIIa + pCaMKII_CaM_Ca3 + pCaMKII_CaM_Ca2 + pCaMKII_CaM_Ca1 + pCaMKII_CaM + CaMKII_CaM_Ca4	from conservation law	synapse
r	r	micromole/litre	(CaMKII_CaM_Ca4+pCaMKII_CaM_Ca4)/(s+totalCaMKII)	from conservation law	synapse
pairedCaMKIIc	pairedCaMKIIc	micromole/litre	a*(r*r)/(1+b*r)	from conservation law	synapse
CaM_bound_Ca	CaM_bound_Ca	micromole/litre	(1.0 * CaM_Ca1) + (2.0 * CaM_Ca2) + (3.0 * CaM_Ca3) + (4.0 * CaM_Ca4)	output related sub-expression	synapse
PP2B_bound_Ca	PP2B_bound_Ca	micromole/litre	(1.0 * PP2B_CaM_Ca1) + (2.0 * PP2B_CaM_Ca2) + (3.0 * PP2B_CaM_Ca3) + (4.0 * PP2B_CaM_Ca4)	output related sub-expression	synapse
CaMKII_bound_Ca	CaMKII_bound_Ca	micromole/litre	(1.0 * (CaMKII_CaM_Ca1 + pCaMKII_CaM_Ca1)) + (2.0 * (CaMKII_CaM_Ca2 + pCaMKII_CaM_Ca2)) + (3.0 * (CaMKII_CaM_Ca3 + pCaMKII_CaM_Ca3)) + (4.0 * (CaMKII_CaM_Ca4 + pCaMKII_CaM_Ca4))	output related sub-expression	synapse
BoundCa	BoundCa	micromole/litre	(CaM_bound_Ca + PP2B_bound_Ca + CaMKII_bound_Ca)	output related sub-expression	synapse
Total_CaM_CaX	Total_CaM_CaX	micromole/litre	CaM + CaM_Ca1 + CaM_Ca2 + CaM_Ca3 + CaM_Ca4	output related sub-expression	synapse
Total_PP2B_CaM_CaX	Total_PP2B_CaM_CaX	micromole/litre	PP2B_CaM + PP2B_CaM_Ca1 + PP2B_CaM_Ca2 + PP2B_CaM_Ca3 + PP2B_CaM_Ca4	output related sub-expression	synapse
Total_CaMKII_CaM_CaX	Total_CaMKII_CaM_CaX	micromole/litre	CaMKII_CaM + CaMKII_CaM_Ca1 + CaMKII_CaM_Ca2 + CaMKII_CaM_Ca3 + CaMKII_CaM_Ca4	output related sub-expression	synapse
Total_pCaMKII_CaM_CaX	Total_pCaMKII_CaM_CaX	micromole/litre	pCaMKII_CaM + pCaMKII_CaM_Ca1 + pCaMKII_CaM_Ca2 + pCaMKII_CaM_Ca3 + pCaMKII_CaM_Ca4	output related sub-expression	synapse
Total_CaM	Total_CaM	micromole/litre	Total_CaM_CaX + Total_PP2B_CaM_CaX + Total_CaMKII_CaM_CaX + Total_pCaMKII_CaM_CaX	output related sub-expression	synapse
Total_pCaMKII	Total_pCaMKII	micromole/litre	pCaMKII_CaM_Ca4 + pCaMKIIa + pCaMKII_CaM_Ca3 + pCaMKII_CaM_Ca2 + pCaMKII_CaM_Ca1 + pCaMKII_CaM	output related sub-expression	synapse
